type,name,metric,avg,std,seed1,seed2,seed3
prefix,squeezeprot_sp_nonstrict,mcc,0.35890684472425366,0.016955838216284914,0.38234021935968626,0.35159565276141413,0.34278466205166064
prefix,squeezeprot_sp_nonstrict,auroc,0.7701260693989355,0.00938406819503336,0.7833957817524807,0.7636559990655525,0.7633264273787732
prefix,squeezeprot_sp_nonstrict,ap,0.747343994734922,0.008146487192956816,0.7587293682853288,0.7401255844540378,0.7431770314653994
prefix,squeezeprot_sp_nonstrict,f1,0.652092526319069,0.018443063984947636,0.672027820039122,0.6566905226631967,0.6275592362548884
prefix,squeezeprot_sp_nonstrict,acc,0.6774171459874007,0.009406696664516226,0.6900164338537387,0.6748151191454396,0.6674198849630238
prefix,squeezeprot_sp_strict,mcc,0.32755820025349297,0.019455929243798433,0.3011533023072221,0.3474603355957655,0.3340609628574914
prefix,squeezeprot_sp_strict,auroc,0.7465236727840123,0.002989563704565037,0.7423571439663652,0.7492284393442933,0.7479854350413784
prefix,squeezeprot_sp_strict,ap,0.7180648416007065,0.008490804182522608,0.7066319092994574,0.7269604078984178,0.7206022076042442
prefix,squeezeprot_sp_strict,f1,0.6457430951058521,0.026978329747506576,0.6080402010050251,0.6595334902632142,0.6696555940493173
prefix,squeezeprot_sp_strict,acc,0.6625582032319913,0.010945198139650638,0.647493837304848,0.6731717337715695,0.6670090386195563
prefix,proteinbert,mcc,0.46876792269195927,0.01067748033945997,0.47174942033089245,0.4800969197151804,0.45445742802980504
prefix,proteinbert,auroc,0.809014825127547,0.0004861622931124817,0.8088963593680055,0.8096605774534819,0.8084875385611534
prefix,proteinbert,ap,0.7817739070616986,0.004360051864798341,0.7756311681311348,0.7853091161747019,0.7843814368792593
prefix,proteinbert,f1,0.7414119791164756,0.009707231587063749,0.741618148966071,0.75319643549012,0.7294213528932355
prefix,proteinbert,acc,0.7337030950424541,0.004727213255024129,0.735620377978636,0.738290879211175,0.7271980279375514
prefix,prottrans_bert,mcc,0.5110389260230296,0.018213099276024998,0.5242862281899053,0.4852852666585655,0.5235452832206178
prefix,prottrans_bert,auroc,0.8461316583045765,0.007675132521325033,0.8491675719690039,0.8355887964869094,0.8536386064578159
prefix,prottrans_bert,ap,0.8390233208077351,0.007271312163345516,0.8409339775659106,0.8293175630717785,0.8468184217855164
prefix,prottrans_bert,f1,0.7531080537932068,0.011587223812253052,0.768370607028754,0.7403108808290155,0.7506426735218509
prefix,prottrans_bert,acc,0.7550671049027664,0.008818587049464869,0.761709120788825,0.7426047658175843,0.7608874281018899
prefix,prottrans_t5,mcc,0.5779098542285881,0.011427473854282876,0.5678387230595705,0.5938911941469579,0.571999645479236
prefix,prottrans_t5,auroc,0.8773458245925801,0.004621797111866538,0.8754983664047198,0.8836992577758662,0.8728398495971545
prefix,prottrans_t5,ap,0.8642751280113773,0.004944006544503348,0.8632323454275554,0.87078394399428,0.8588090946122968
prefix,prottrans_t5,f1,0.791284242672094,0.007690084090082078,0.782464846980976,0.8012048192771084,0.7901830617581975
prefix,prottrans_t5,acc,0.7887565050671049,0.005619073743886206,0.7838948233360723,0.7966310599835661,0.7857436318816763
random,squeezeprot_sp_nonstrict,mcc,0.33282508383461273,0.023720866064150876,0.29968399692007164,0.34489335021886797,0.3538979043648987
random,squeezeprot_sp_nonstrict,auroc,0.750096550578662,0.005093000162647123,0.7435885014337422,0.7560230175229172,0.7506781327793266
